text,label
Why did I only receive a partial amount of what I tried to withdraw?,3
my atm transaction was wrong,3
why did i only get 20.00,3
Why is my cash request and the amount I received different?,3
"I tried to withdraw $100, all it gave me was $20.",3
The ATM didn't give me enough money.,3
When I went to withdraw cash today the ATM gave me the wrong amount of cash. The app is showing a larger amount.,3
I didn't get the all the cash i wanted from the atm,3
I received $20 but I entered $100,3
"Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",3
Did a WD earlier at an ATM.  The amount showing in the App is more than I got though.,3
I didn't get the correct amount of money from the ATM machine,3
Some cash was missing at ATM.,3
I didn't get all the cash I asked for,3
I tried to withdraw $100 but only got $20. What happened?,3
how come when i asked for 100 it only gave me 20.00 in the app,3
Asked for $100 but only got $20. Why would this happen?,3
I wanted to withdraw $100 from the ATM but I only got $20,3
I got less money than I asked for.,3
"Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through.",3
The cash I wanted wasn't there.,3
I requested a higher amount for my cash withdrawal,3
The amount of cash I received did not match the amount I requested,3
The ATM didn't give me the full requested amount,3
The amount of cash I received was not the full amount,3
How can I request cash back? The ATM just gave me the wrong amount that I've been charged though...,3
I was only given $20 after trying to withdraw $100,3
I received less cash than the amount I specified in the ATM.,3
I went tot the ATM earlier today and didn't realize this till now but I did not get all the money I requested.  I believe my account was charged for 100 but I only got 80.  Is there any way we can solve this problem?,3
I got less cash than what I specified at the ATM.,3
Why did I not get the amount of money I requested?,3
I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?,3
I got $20 when I should've gotten $100,3
How can I request cash back? The ATM gave me the wrong amount that I've been charged though...,3
I didn't receive the amount of cash I requested for the ATM.,3
my cash balance less than what I thought,3
It didn't give me my cash,3
It kept my cash,3
I only got $20 of the $100 that I attempted to withdraw.,3
"Hi, I draw out some money from the ATM today. The ATM has given me wrong amount and the application is displaying more amount than i withdraw.",3
I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now!,3
"HELP! I tried to get cash and it gave me some, but not the right amount!",3
"I am calling because the ATM didn't give me the right amount of cash, but my app shows the actual amount I wanted to withdraw. What should I do to get my money back?",3
Why didn't I receive the right amount of cash?,3
Why didn't I receive the right amount of cash at the ATM?,3
I received the wrong amount of cash back,3
Why did I only get $20 now the full amount I wanted?,3
The amount of cash I selected to withdraw is different than what I received.,3
What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct.,3
What do I need to do to request cash back? The ATM actually just gave me the wrong amount. The app I actually chose the right amount.,3
I was just giving the wrong amount by the ATM. How do I request cash back at this point? The app is showing the amount that I actually requested even though that's not what I got.,3
"I normally don't use ATMs, but I was in a rush today and had to withdraw some cash. The ATM gave me the wrong amount of money and now my app is not showing the same amount as it should. What do I do?",3
I received incorrect amount of cash from an ATM today. It was more than I wanted. What do I do now?,3
ATM is broken. It did not give me the full amount (30 pounds.)  I'm standing here with only 10 pounds and it's telling me it gave me 30 pounds. I need assistance now!,3
Why didn't the ATM give me all my money,3
I did not get the right amount of cash from the ATM.,3
Why did I get less from the ATM?,3
The ATM only gave me 10 pounds when I withdrew 30. What do I do?,3
Machines make mistakes too! The ATM gave me the wrong amount of money. Too much!,3
I could only take the amount of money that was available to me which was less then I expected.,3
I was given less cash then I wanted.,3
"Hello, I didn't receive the right amount on my ATM transaction,  the app shows the correct amount how can we fix this",3
I did not receive my full withdrawal amount,3
I received a different amount of cash than what I entered.,3
"I only received $20, but I requested $100.",3
"Help, your app is showing a larger WD than I actually did earlier at an ATM.",3
"I think something went wrong, I didn't get the right amount.",3
