temperature,city,pression,date
281.62,Paris,1028,1675173519
284.66,London,1022,1675173519
264.56,Washington,1029,1675173519
281.62,Paris,1028,1675173506
284.66,London,1022,1675173506
264.56,Washington,1029,1675173506
281.62,Paris,1028,1675173494
284.66,London,1022,1675173494
264.56,Washington,1029,1675173494
281.62,Paris,1028,1675173478
284.66,London,1022,1675173478
264.56,Washington,1029,1675173478
281.62,Paris,1028,1675173471
284.66,London,1022,1675173471
264.56,Washington,1029,1675173471
281.62,Paris,1028,1675173467
284.66,London,1022,1675173467
264.56,Washington,1029,1675173467
281.62,Paris,1028,1675173455
284.66,London,1022,1675173455
264.56,Washington,1029,1675173455
281.62,Paris,1028,1675173430
284.66,London,1022,1675173430
264.56,Washington,1029,1675173430
281.62,Paris,1028,1675173407
284.66,London,1022,1675173407
264.56,Washington,1029,1675173407
281.62,Paris,1028,1675173384
284.66,London,1022,1675173384
264.56,Washington,1029,1675173384
281.62,Paris,1028,1675173351
284.66,London,1022,1675173351
264.56,Washington,1029,1675173351
278.46,Paris,1024,1674755924
279.24,London,1030,1674755924
275.06,Washington,1032,1674755924
275.01,Paris,1025,1674730138
278.49,London,1030,1674730138
271.5,Washington,1036,1674730138
275.01,Paris,1025,1674730132
278.49,London,1030,1674730132
271.5,Washington,1036,1674730132
275.01,Paris,1025,1674730053
278.49,London,1030,1674730053
271.5,Washington,1036,1674730053
275.01,Paris,1025,1674729981
278.42,London,1030,1674729981
271.5,Washington,1036,1674729981
275.01,Paris,1025,1674729930
278.42,London,1030,1674729930
271.5,Washington,1036,1674729930
275.01,Paris,1025,1674729767
278.42,London,1030,1674729767
271.5,Washington,1036,1674729767
275.01,Paris,1025,1674729765
278.42,London,1030,1674729765
271.5,Washington,1036,1674729765
275.01,Paris,1025,1674729760
278.42,London,1030,1674729760
271.5,Washington,1036,1674729760
275.01,Paris,1025,1674729756
278.42,London,1030,1674729756
271.5,Washington,1036,1674729756
275.01,Paris,1025,1674729744
278.42,London,1030,1674729744
271.5,Washington,1036,1674729744
275.01,Paris,1025,1674729742
278.42,London,1030,1674729742
271.5,Washington,1036,1674729742
275.01,Paris,1025,1674729674
278.42,London,1030,1674729674
271.5,Washington,1036,1674729674
275.01,Paris,1025,1674729670
